"","","","","","","","","","","","","",""
"TABLE 1","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","Total","Mean","Volatility","Mean
last
three","Total","Mean","Volatility","Mean
last
three","Total","Mean","Volatility","Mean
last
three","Total"
"Revenues","30,413","2339","0.86","5033","17,213","1434","0.78","2902","20,441","1572","1.18","4240","68,066"
"Broadcast
revenue","16,507","1179","0.88","2613","9388","626","0.87","1426","10,898","778","1.37","2414","36,793"
"Sponsorship
revenue","9603","739","1.06","1876","6587","549","1.00","1260","6408","493","1.21","1344","22,597"
"Ticketing
revenue","4375","337","0.96","544","1393","93","1.01","216","3174","227","0.87","482","8942"
"Costs","54,510","3894","0.75","7164","37,023","2468","1.53","7047","33,438","2572","0.94","5192","124,972"
"Organising
costs","22,107","1579","0.67","3130","16,254","1084","0.88","2207","10,008","715","1.12","2004","48,368"
"Venue costs","32,403","2315","1.15","4035","20,769","1385","2.31","4840","23,524","1810","1.03","3188","76,696"
"Profit / loss","-23,175","-1783","-1.22","-2131","-19,255","-1605","-2.08","-4145","-13,111","-1093","-1.33","-952","-55,540"
"ROI","-43 %","-29 %","","-23 %","-52 %","-37 %","","-31 %","-39 %","-47 %","","-18 %","-44 %"
